,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,popularity,track_key,artist_key
0,0.0058200000000000005,0.743,238373,0.339,0.0,1,0.0812,-7.678,1,0.409,203.927,4,0.118,15,1,1
1,0.0244,0.846,214800,0.557,0.0,8,0.28600000000000003,-7.258999999999999,1,0.457,159.009,4,0.371,0,2,1
2,0.025,0.603,138913,0.723,0.0,9,0.0824,-5.89,0,0.0454,114.966,4,0.382,56,3,2
3,0.0294,0.8,125381,0.579,0.912,5,0.0994,-12.118,0,0.0701,123.003,4,0.6409999999999999,0,4,3
4,3.52e-05,0.7829999999999999,124016,0.792,0.878,7,0.0332,-10.277,1,0.0661,120.047,4,0.928,0,5,3
5,0.00115,0.81,124016,0.417,0.919,9,0.106,-10.783,0,0.0793,120.025,4,0.8370000000000001,0,6,4
6,0.000539,0.8190000000000001,132742,0.72,0.863,4,0.0727,-8.895,0,0.151,124.003,4,0.934,0,7,5
7,0.115,0.885,181838,0.348,0.0,9,0.107,-12.569,1,0.451,142.111,4,0.18,0,8,6
8,5.84e-05,0.74,124016,0.472,0.847,8,0.0959,-9.008,1,0.0551,120.034,4,0.622,0,9,7
9,8.109999999999999e-05,0.813,132742,0.731,0.91,11,0.0727,-8.932,1,0.0697,124.031,4,0.944,0,10,3
10,0.000784,0.787,124016,0.83,0.784,1,0.0373,-10.457,1,0.162,119.988,4,0.8959999999999999,0,11,8
11,0.000106,0.777,128016,0.865,0.812,7,0.0791,-12.181,1,0.117,119.979,4,0.695,0,12,9
12,0.000223,0.7959999999999999,132742,0.698,0.919,10,0.0727,-8.86,0,0.0792,123.973,4,0.964,0,13,10
13,3.74e-05,0.815,134769,0.7090000000000001,0.938,1,0.0892,-10.666,1,0.0779,122.001,4,0.489,0,14,11
14,1.35e-05,0.799,124016,0.573,0.915,0,0.0782,-9.83,1,0.0576,120.079,4,0.7659999999999999,0,15,4
15,7.42e-05,0.812,134769,0.581,0.914,1,0.0892,-11.598,1,0.0874,121.994,4,0.503,0,16,12
16,0.000851,0.8109999999999999,124016,0.7090000000000001,0.929,7,0.0628,-10.885,1,0.0504,120.007,4,0.653,0,17,13
17,0.0315,0.746,127727,0.645,0.966,1,0.134,-16.615,0,0.0532,124.032,4,0.0359,0,18,14
18,0.000256,0.813,134769,0.598,0.8909999999999999,8,0.0892,-11.058,1,0.0874,122.01,4,0.623,0,19,5
19,9.1e-06,0.812,124016,0.504,0.944,1,0.0848,-11.005999999999998,1,0.055,120.014,4,0.585,0,20,15
20,0.0004280000000000001,0.8140000000000001,134769,0.8240000000000001,0.738,9,0.0771,-8.98,0,0.0846,122.011,4,0.591,0,21,16
21,0.000133,0.813,134769,0.703,0.927,1,0.0892,-11.562,1,0.0968,121.984,4,0.503,0,22,12
22,7.01e-05,0.81,124016,0.537,0.932,2,0.0745,-9.894,1,0.0762,120.036,4,0.523,0,23,13
23,6.66e-06,0.8059999999999999,128016,0.5870000000000001,0.8959999999999999,7,0.243,-10.057,1,0.0607,120.018,4,0.616,0,24,3
